1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
44	-0.624452	-0.624455	0.000008	0.000000	805.490601	0.004221	0.000002	0.004221	8.9	9.1	19.4
45	-0.621427	-0.621430	0.000009	0.982296	769.496639	0.005102	0.000002	0.005102	7.8	9.8	19.6
46	-0.625053	-0.625056	0.000009	0.035099	804.146562	0.005296	0.000002	0.005296	10.3	24.1	36.0
47	-0.598690	-0.598693	0.000008	1.035098	767.652690	0.004180	0.000002	0.004180	18.1	8.6	28.8
48	-0.630647	-0.630649	0.000008	2.034898	734.333734	0.003923	0.000002	0.003923	20.2	9.1	31.3
49	-0.599796	-0.599799	0.000009	1.064215	766.639680	0.003772	0.000002	0.003772	16.6	9.1	27.3
50	-0.637830	-0.637833	0.000009	2.064212	733.400415	0.003771	0.000002	0.003771	9.0	8.7	19.1
51	-0.593645	-0.593648	0.000009	1.093529	765.622490	0.004612	0.000002	0.004612	7.7	7.8	16.8
52	-0.628879	-0.628882	0.000008	0.122846	800.806044	0.003694	0.000002	0.003694	9.0	8.0	18.6
53	-0.615397	-0.615399	0.000010	0.000000	805.490601	0.004506	0.000002	0.004506	7.6	8.3	17.9
54	-0.594102	-0.594105	0.000011	0.506547	786.518761	0.003626	0.000002	0.003626	7.7	7.8	16.9
55	-0.605507	-0.605511	0.000011	0.000000	805.490601	0.003883	0.000002	0.003883	7.7	8.4	17.8
56	-0.619748	-0.619751	0.000011	0.000000	805.490601	0.004748	0.000002	0.004748	7.7	8.0	17.1
57	-0.613968	-0.613971	0.000011	0.000000	805.490601	0.004800	0.000002	0.004800	7.8	9.7	19.1
58	-0.626691	-0.626695	0.000011	0.000000	805.490601	0.003875	0.000002	0.003875	7.7	7.8	17.0
59	-0.602457	-0.602460	0.000011	1.000000	768.877394	0.004095	0.000002	0.004095	8.2	9.5	19.9
